IorA,Cache(M),Cores,Threads,Speed(GHz),Price,Name
0,16.00,32.00,64.00,3.00,1700,Ryzen Threadripper 2990WX
0,12.00,24.00,48.00,3.00,1300,Ryzen Threadripper 2970WX
0,8.00,16.00,32.00,3.50,866,Ryzen Threadripper 2950X
0,6.00,12.00,24.00,3.50,650,Ryzen Threadripper 2920X
0,8.00,16.00,32.00,3.40,650,Ryzen Threadripper 1950X
0,6.00,12.00,24.00,3.50,420,Ryzen Threadripper 1920X
0,4.00,8.00,16.00,3.80,300,Ryzen Threadripper 1990X
0,4.00,8.00,16.00,2.80,300,Ryzen 7 2700E
0,4.00,8.00,16.00,3.70,280,Ryzen 7 2700X
0,4.00,8.00,16.00,3.20,250,Ryzen 7 2700
0,4.00,8.00,16.00,3.60,250,Ryzen 7 1800X
0,4.00,8.00,16.00,3.40,180,Ryzen 7 1700X
0,4.00,8.00,16.00,3.00,180,Ryzen 7 1700
0,8.00,8.00,8.00,4.70,100,FX-9590
0,8.00,8.00,8.00,4.40,244,FX-9370
0,8.00,8.00,8.00,3.30,253,FX-8370E
0,8.00,8.00,8.00,4.00,145,FX-8370
0,8.00,8.00,8.00,4.00,76,FX-8350
0,8.00,8.00,8.00,3.20,86,FX-8320E
0,8.00,8.00,8.00,3.50,90,FX-8320
0,8.00,8.00,8.00,3.30,79,FX-8300
0,6.00,6.00,6.00,3.90,107,FX-6350
0,6.00,6.00,6.00,3.50,60,FX-6300
0,6.00,6.00,6.00,3.80,60,FX-6200
0,6.00,6.00,6.00,3.30,60,FX 6100
0,4.00,4.00,4.00,4.20,67,FX-4350
0,4.00,4.00,4.00,4.00,50,FX-4320
0,4.00,4.00,4.00,3.80,62,FX-4300
0,4.00,4.00,4.00,3.80,50,FX-4130
0,4.00,4.00,4.00,3.60,40,FX-4100
1,24.75,18.00,36.00,3.00,1979,
1,24.75,18.00,36.00,2.60,1979,
1,22.00,16.00,32.00,3.10,1684,
1,22.00,16.00,32.00,2.80,1684,
1,19.25,14.00,28.00,3.30,1387,
1,19.25,14.00,28.00,3.10,1387,
1,19.25,12.00,24.00,3.50,1189,
1,16.50,12.00,24.00,2.90,1189,
1,19.25,10.00,20.00,3.50,989,
1,13.75,10.00,20.00,3.30,989,
1,16.50,10.00,20.00,3.30,889,
1,11.00,8.00,16.00,3.60,589,
1,16.50,8.00,16.00,3.80,589,
1,8.25,6.00,12.00,3.50,383,
1,8.00,4.00,8.00,4.30,339,
1,6.00,4.00,4.00,4.00,242,
1,16.00,8.00,16.00,3.60,488,
1,25.00,10.00,20.00,3.00,1723,
1,20.00,8.00,16.00,3.00,999,
1,20.00,8.00,16.00,3.20,1089,
1,15.00,6.00,12.00,3.60,617,
1,15.00,6.00,12.00,3.50,583,
1,15.00,6.00,12.00,3.40,434,
1,15.00,6.00,12.00,3.30,389,
1,12.00,8.00,8.00,3.60,374,
1,12.00,6.00,12.00,3.70,359,
1,8.00,4.00,8.00,4.20,339,
1,8.00,4.00,8.00,4.00,339,
1,12.00,6.00,12.00,3.20,303,
1,8.00,4.00,8.00,3.60,303,
1,8.00,4.00,8.00,3.40,303,
